QID,ProductID,Component,Role,RoleName,Level,OnboardingPhase,QuestionType,Question,WhyItMatters,AnswerSource,AnswerStatus,BlocksWork,ParentQID,FollowUps,SampleAnswerShape,AskedTo,AnsweredBy,AnswerDate,DocLink,Confidence
QAI0038,D02,AI Assessment and Auto Grader,DE,Data Engineer,L2 Mid,Month 1,Data,"Which store holds the psychometric statistics for a translated item, and why can it not inherit the source language's numbers?",Shipping a Hindi item on English statistics means difficulty is unknown and pass marks are arbitrary for that cohort.,Master Checklist v3 (AIA-14.1.04); Architecture Review Report SS I.2-5,Partially documented,AIA-14.1.04 translated-item re-validation,-,What response volume is needed per variant? / Who signs the re-validation?,Names the per-variant psychometric record and the prohibition on inheriting statistics,,,,,
QAI0033,D02,AI Assessment and Auto Grader,ID,Instructional Designer,L1 Junior,Week 1,Orientation,Who is allowed to approve an AI-generated question before a learner ever sees it?,Unreviewed generated items put invalid assessment content in front of learners and into certification decisions.,Master Checklist v3 (AIA-15.1.02); Architecture Review Report SS I.2-5,Partially documented,AIA-15.1.02 P2 review gate,-,Can sampling ever replace full review? / What about certification items?,"Names the P2 reviewer role, the block authority, and the never-sample category",,,,,
QAI0046,D02,AI Assessment and Auto Grader,ID,Instructional Designer,L4 Architect,Quarter 1,Ethics/Validity,Under what conditions is an AI-suggested grade acceptable evidence on the evidence ladder for a competency record?,Letting a quiz score flow into an official skill record with no ladder discipline is how EdVidura issues a competence claim it cannot defend.,Architecture Review Report SS I.8 evidence ladder,Partially documented,HR-1 official record human approval,-,Which rung does semantic grading sit on? / What is needed to reach competence?,Places the signal on the ladder and names the additional evidence required above it,,,,,
QAI0042,D02,AI Assessment and Auto Grader,PM,Project / Delivery Manager,L3 Senior,Quarter 1,Cost,How many human reviewers does 100 percent confirmation of semantic grades require at projected exam volume?,"An unstaffed review queue is a rubber stamp, and the gate we sold as the safety control silently stops existing.",Master Checklist v3 (AIA-17.1.05); Architecture Review Report SS I.6,Undocumented — no answer exists,AIA-17.1.05 human-review queue staffing model,-,Who pays for the reviewers? / Is P4 the staffing source?,Gives reviewers times items per day against a stated volume forecast and names the funding line,,,,,
QAI0053,D02,AI Assessment and Auto Grader,PM,Project / Delivery Manager,L4 Architect,Quarter 1,Emergent,"If the review-queue staffing math does not close, which is cut first - semantic grading, exam volume, or the review requirement?",Leaving this unresolved means the review requirement gets quietly eroded under exam-week pressure.,None - undocumented; Programme Director,Undocumented — no answer exists,AIA-17.1.05 staffing model approval,QAI0042,Who takes the decision under time pressure? / Is the decision recorded?,Ranks the three options with their consequences and names the decision owner,,,,,
QAI0045,D02,AI Assessment and Auto Grader,PRODM,Product Manager,L4 Architect,Quarter 1,Governance/Process,"Who has the authority to end 100 percent human confirmation of semantic grades, and against what evidence?","Nobody has ratified this decision, so the control either stays forever and costs us the business case or is dropped informally.",None - undocumented; Architecture Review Report SS I.2-2 names it as unratified,Undocumented — no answer exists,AIA-16.1.04 uncalibrated default and threshold change governance,-,What calibration study proves the threshold? / Is the change customer-visible?,"Names the deciding body, the evidence package, and the change-control record",,,,,
QAI0048,D02,AI Assessment and Auto Grader,PRODM,Product Manager,L4 Architect,Quarter 1,Ethics/Validity,Who is liable when a competency record built on an AI-assisted grade is later disproved?,"If liability is undefined, the first disproved record becomes a contract dispute rather than a correction workflow.",None - undocumented; Commercial and Legal owner (E10),Undocumented — no answer exists,Official-record amendment and revocation chain,-,Does the named approver carry it? / Does the customer accept AI-assisted evidence in writing?,"Names the liable party, the contractual basis, and the correction obligation",,,,,
QAI0034,D02,AI Assessment and Auto Grader,QA,QA / Test Engineer,L1 Junior,Week 1,Orientation,What is the deterministic fallback scorer and when is it supposed to take over from the model?,A tester who does not know the fallback exists will file its outputs as grading defects and miss the real saturation failure.,"Master Checklist v3 (AIA-13.1.05, AIA-16.1.05)",Partially documented,AIA-16.1.05 deterministic fallback chaos test,-,Are fallback grades marked? / Do they feed official records?,"Names the rubric or keyword scorer, its three trigger conditions, and the marking of its grades",,,,,
QAI0041,D02,AI Assessment and Auto Grader,QA,QA / Test Engineer,L3 Senior,Quarter 1,Failure mode,What happens to in-flight grading work when the GPU node is killed mid-batch?,Dropped grading jobs during an exam window return no results and destroy instructor trust in the tool.,Master Checklist v3 (AIA-16.1.05); Architecture Review Report Scenario 11,Partially documented,AIA-16.1.05 deterministic fallback chaos test,-,Is work deferred or dropped? / Is the learner told?,"States the deferral state, the fallback engagement, and the user-visible promise",,,,,
QAI0039,D02,AI Assessment and Auto Grader,SDET,Test Architect / SDET,L2 Mid,Month 1,Interface/Contract,How do you prove that M8 still functions with M27 disabled?,"If the assessment product silently depends on the AI service, an enclave without a GPU cannot run quizzes at all.",Master Checklist v3 (AIA-13.1.06),Partially documented,AIA-13.1.06 MOSA severability,-,What is the documented configuration? / Which features disappear?,"Names the severability configuration, the conformance test, and the degraded feature list",,,,,
QAI0049,D02,AI Assessment and Auto Grader,SDET,Test Architect / SDET,L4 Architect,Quarter 1,Standards,"Which grading contract most needs a third-party-runnable conformance suite, and why that one first?",A prose contract cannot be re-competed and fails the MOSA claim we are making to the customer.,Master Checklist v3 (AIA-13.1.07); Architecture Review Report SS O,Partially documented,MOSA conformance evidence for M27,-,Who runs the suite? / What does a red run block?,Ranks the contracts by re-competability risk and justifies the first choice,,,,,
QAI0043,D02,AI Assessment and Auto Grader,SEC,Security Engineer,L3 Senior,Quarter 1,Security,How is a grade change by a human reviewer made tamper-evident?,A gradebook whose history can be edited cannot support an official competency record or an accreditation claim.,Master Checklist v3 (AIA-17.1.03),Partially documented,AIA-17.1.03 hash-chained audit of grade writes,-,Who can read the chain? / What proves the chain was not rebuilt?,"Names the append-only audit service, the reviewer identity field, and the verification tool",,,,,
QAI0054,D02,AI Assessment and Auto Grader,SEC,Security Engineer,L3 Senior,Quarter 1,Emergent,"Once auto-accept above a confidence threshold is enabled, what stops an attacker from crafting answers that score high confidence?","Confidence is an attackable surface the moment it gates human review, and nobody has red-teamed it.",None - undocumented; Security Architect,Undocumented — no answer exists,AIA-16.1.03 confidence-banded routing,QAI0045,Is confidence gameable on the local model? / Is there a sampling audit above threshold?,"Names the abuse case, the residual sampling control, and the monitoring signal",,,,,
QAI0055,D02,AI Assessment and Auto Grader,SUP,Support & Service Engineer,L2 Mid,Quarter 1,Emergent,"When a customer asks who signed off a specific AI-assisted grade, where does a support engineer find the name?","If the approver field is not reachable from support tooling, every evidence request becomes an engineering escalation.","Master Checklist v3 (AIA-13.1.03, AIA-17.1.03)",Partially documented,COR-06.2.02 grade-dispute evidence model,QAI0032,Is the name exposed in the support UI? / Is it retained as long as the record?,"Names the field, the surface that exposes it, and the retention rule",,,,,
QAI0044,D02,AI Assessment and Auto Grader,SUP,Support & Service Engineer,L3 Senior,Quarter 1,Failure mode,A learner says their written answer was graded wrongly by the AI - what is the first evidence a support engineer pulls?,Without a defined first artefact the dispute escalates to engineering and the learner waits weeks for an answer.,"Master Checklist v3 (COR-06.2.02, AIA-13.1.03)",Partially documented,COR-06.2.02 grade-dispute evidence model,-,Who is the confirming grader? / Can the answer be re-graded on the pinned model?,Names the dispute evidence bundle and the re-grade path on the pinned version,,,,,
QPG0110,D03,Security Accreditation & ATO Initiation,AI,AI/ML Engineer,L3 Senior,Quarter 1,Governance/Process,"What accreditation evidence does a locally served model need — provenance, explainability, decision logs — and who is producing each piece?","AI is novel accreditation surface, and an unprepared position on model provenance is the item most likely to stall the package.",Master Checklist v3 (PRG-01.2.05); Architecture Review Report SectionD2 P1 gap 5,Undocumented — no answer exists,PRG-01.2.05 AI accreditation position paper,-,Where does model provenance come from? / What counts as an AI decision log? / Who writes the paper?,Lists the three evidence classes with a named producer for each,,,,,
